cell,x,y,lon,lat,height,area_sq,biome,biome_cost,habitability,is_land,harbor,river,flux,pop,state,state_name,province,province_name,culture,culture_name,burg,burg_name,burg_pop,market_cell,cost_to_market_mi,supply_days
40,870.64,19.97,2.9725,86.2042,49,288,Glacier,5000,0,1,5,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
41,889.08,31.9,6.4772,83.9366,10,215,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
42,877.5,36.2,4.2763,83.1193,10,235,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
43,899.2,27.4,8.4006,84.792,10,231,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
44,909.29,22.84,10.3183,85.6587,10,215,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
45,925.22,23.96,13.3459,85.4458,10,192,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
46,935.0,23.4,15.2047,85.5523,10,196,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
47,944.84,22.81,17.0749,85.6644,10,228,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
48,955.6,31.76,19.1199,83.9633,10,251,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
49,971.3,32.4,22.1038,83.8416,10,431,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
50,986.96,33.0,25.0801,83.7276,8,292,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
51,998.0,32.8,27.1784,83.7656,8,144,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
52,996.23,25.15,26.842,85.2196,40,186,Glacier,5000,0,1,3,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
53,1009.13,32.56,29.2937,83.8112,10,164,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
54,1021.2,25.8,31.5877,85.0961,10,200,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
55,1021.7,35.3,31.6827,83.2904,10,174,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
56,1033.17,19.13,33.8627,86.3639,10,257,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
57,1033.8,28.6,33.9825,84.5639,10,136,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
58,1060.72,30.62,39.0988,84.1799,10,216,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
59,1047.5,34.4,36.5863,83.4615,10,321,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
60,1071.31,33.8,41.1115,83.5755,10,269,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
61,1082.23,23.93,43.187,85.4515,10,867,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
62,1268.3,26.52,78.5512,84.9592,10,1181,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
63,1289.1,34.41,82.5044,83.4596,10,467,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
64,679.15,43.66,-33.4218,81.7014,10,2373,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
65,707.91,45.53,-27.9557,81.3459,10,646,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
66,723.33,45.74,-25.025,81.306,10,254,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
67,740.51,51.61,-21.7598,80.1903,10,397,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
68,759.99,39.63,-18.0575,82.4674,10,243,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
69,780.93,37.84,-14.0776,82.8076,10,303,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
70,801.33,39.32,-10.2004,82.5263,10,241,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
71,812.97,38.97,-7.9882,82.5928,10,204,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
72,821.9,49.1,-6.2909,80.6674,10,263,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
73,841.25,52.45,-2.6133,80.0306,10,261,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
74,850.3,44.9,-0.8933,81.4657,10,199,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
75,859.34,37.32,0.8249,82.9064,10,161,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
76,865.86,40.5,2.064,82.302,10,204,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
77,892.35,45.03,7.0987,81.441,10,1152,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
78,925.97,38.0,13.4885,82.7772,10,1168,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
79,949.89,42.78,18.0346,81.8686,10,406,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
80,956.66,48.09,19.3213,80.8593,10,1913,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
81,996.16,51.38,26.8287,80.234,10,1172,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
82,1010.76,45.1,29.6035,81.4277,10,339,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
83,1034.34,38.08,34.0851,82.762,10,247,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
84,1066.37,42.87,40.1727,81.8515,10,627,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
85,1106.69,46.08,47.8358,81.2414,10,1089,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
86,1138.45,45.56,53.8721,81.3402,10,977,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
87,1165.55,39.53,59.0227,82.4864,10,1342,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
88,1176.34,50.53,61.0734,80.3956,10,677,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
89,1251.0,48.63,75.2632,80.7567,10,906,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
90,1262.96,50.31,77.5363,80.4374,10,169,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
91,1272.5,44.0,79.3494,81.6367,10,185,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
92,1281.98,37.6,81.1512,82.8532,10,161,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
93,1286.6,51.6,82.0292,80.1922,10,271,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
94,1299.18,37.34,84.4202,82.9026,10,1109,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
95,1355.19,37.89,95.0654,82.7981,10,1672,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
96,1383.57,51.58,100.4592,80.196,10,398,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
97,1400.81,39.39,103.7358,82.513,10,1184,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
98,1428.34,38.54,108.9681,82.6746,10,1004,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
99,1446.68,40.65,112.4538,82.2735,10,668,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
100,1463.52,41.93,115.6544,82.0302,10,1278,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
101,726.55,65.25,-24.413,77.5977,10,2317,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
102,762.34,57.96,-17.6108,78.9833,10,2090,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
103,802.52,61.05,-9.9743,78.396,10,1770,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
104,819.19,65.61,-6.806,77.5293,10,1359,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
105,830.77,59.13,-4.6051,78.7609,10,219,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
106,872.22,59.66,3.2728,78.6602,10,1766,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
107,1031.03,60.04,33.456,78.588,10,813,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
108,1107.72,67.25,48.0316,77.2175,10,698,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
109,1129.93,56.7,52.2528,79.2228,10,309,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
110,1128.3,69.6,51.943,76.7709,10,259,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
111,1146.38,60.07,55.3792,78.5823,10,238,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
112,1156.6,63.1,57.3216,78.0063,10,213,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
113,1166.8,66.13,59.2602,77.4304,10,173,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
114,1169.7,74.7,59.8114,75.8015,10,79,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
115,1166.6,75.4,59.2222,75.6684,10,101,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
116,1183.25,69.84,62.3867,76.7252,10,196,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
117,1193.0,71.4,64.2398,76.4287,10,164,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
118,1190.86,60.96,63.833,78.4131,10,691,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
119,1226.78,63.47,70.6599,77.936,10,987,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
120,1249.93,62.08,75.0598,78.2002,10,323,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
121,1269.3,55.31,78.7412,79.487,22,141,Snowy,50,50,1,4,0,0,2.68,9,Edhellon,21,Staple,4,HUMANS,,,,344,457.3,18.3
122,1270.9,65.1,79.0453,77.6262,22,208,Snowy,50,50,1,3,0,0,4.296,9,Edhellon,21,Staple,4,HUMANS,,,,344,402.7,16.1
123,1291.16,65.57,82.8959,77.5369,10,213,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
124,1296.1,76.0,83.8348,75.5544,10,174,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
125,1303.89,65.66,85.3154,77.5197,10,407,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
126,1327.35,64.87,89.7741,77.6699,10,638,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
127,1347.2,56.75,93.5468,79.2133,10,559,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
128,1375.17,60.35,98.8627,78.529,10,325,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
129,1372.7,72.3,98.3933,76.2577,10,211,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
130,1391.49,55.47,101.9645,79.4566,10,188,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
131,1400.8,60.5,103.7339,78.5005,10,213,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
132,1410.03,65.48,105.4882,77.554,10,202,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
133,1423.4,65.1,108.0292,77.6262,10,223,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
134,1421.9,70.6,107.7442,76.5808,10,127,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
135,1436.73,64.68,110.5627,77.706,10,213,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
136,1446.2,60.2,112.3626,78.5576,10,239,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
137,1455.66,55.62,114.1605,79.4281,10,176,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
138,1465.0,58.3,115.9357,78.9187,10,191,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
139,1474.35,60.91,117.7127,78.4226,7,158,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
140,1478.83,62.25,118.5642,78.1679,10,441,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
141,1492.8,71.5,121.2193,76.4097,10,420,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
142,1518.09,58.79,126.0259,78.8256,10,1410,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
143,1541.86,56.41,130.5436,79.2779,10,1338,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
144,1560.76,63.33,134.1357,77.9626,10,1456,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
145,491.1,83.48,-69.1623,74.1326,0,2072,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
146,534.26,75.62,-60.9594,75.6266,0,5057,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
147,844.48,73.31,-1.9994,76.0657,10,2498,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
148,1034.97,85.74,34.2048,73.7031,10,538,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
149,1058.77,79.74,38.7282,74.8435,10,360,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
150,1064.81,76.17,39.8762,75.5221,10,712,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
151,1110.69,88.62,48.5961,73.1556,10,306,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
152,1126.68,82.46,51.6351,74.3265,10,302,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
153,1147.57,74.44,55.6054,75.8509,23,232,Snowy,50,50,1,6,0,0,4.848,9,Edhellon,22,Chichbridia,4,HUMANS,,,,344,1844.5,73.8
154,1147.3,86.4,55.5541,73.5776,23,237,Snowy,50,50,1,2,0,0,4.848,9,Edhellon,22,Chichbridia,4,HUMANS,,,,344,1778.7,71.1
155,1166.49,84.73,59.2013,73.895,10,174,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
156,1172.69,83.32,60.3797,74.163,10,138,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
157,1202.7,72.94,66.0833,76.136,10,228,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
158,1206.5,83.0,66.8056,74.2239,10,156,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
159,1210.35,77.48,67.5373,75.2731,10,177,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
160,1239.47,76.14,73.0718,75.5278,10,271,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
161,1224.9,84.6,70.3026,73.9197,10,239,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
162,1238.0,90.8,72.7924,72.7413,10,154,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
163,1257.17,83.93,76.4358,74.0471,23,293,Snowy,50,50,1,2,0,0,5.973,9,Edhellon,21,Staple,4,HUMANS,,,,344,304.4,12.2
164,1272.59,74.82,79.3665,75.7787,23,198,Snowy,50,50,1,1,0,0,5.373,9,Edhellon,21,Staple,4,HUMANS,,,,344,348.5,13.9
165,1281.08,80.16,80.9801,74.7637,24,203,Snowy,50,50,1,2,0,0,4.459,9,Edhellon,21,Staple,4,HUMANS,,,,344,293.3,11.7
166,1300.97,86.4,84.7604,73.5776,10,150,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
167,1316.0,86.2,87.617,73.6156,10,232,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
168,1331.06,85.92,90.4792,73.6688,10,148,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
169,1332.9,83.16,90.8289,74.1935,10,167,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
170,1346.1,79.2,93.3377,74.9461,10,274,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
171,1359.28,75.33,95.8427,75.6817,10,273,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
172,1370.17,84.33,97.9124,73.9711,10,289,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
173,1391.87,75.85,102.0367,75.5829,25,254,Snowy,50,50,1,5,125,171,7.563,9,Edhellon,25,Shoroughia,4,HUMANS,,,,242,518.3,20.7
174,1401.3,76.8,103.8289,75.4023,25,108,Snowy,50,50,1,2,0,0,2.086,9,Edhellon,25,Shoroughia,4,HUMANS,,,,242,463.7,18.5
175,1410.73,77.77,105.6212,75.218,27,126,Snowy,50,50,1,2,0,0,2.4,9,Edhellon,25,Shoroughia,4,HUMANS,,,,242,411.6,16.5
176,1402.7,84.4,104.095,73.9578,27,114,Snowy,50,50,1,0,0,0,4.783,9,Edhellon,25,Shoroughia,4,HUMANS,,,,242,430.4,17.2
177,1417.9,87.5,106.9839,73.3685,27,180,Snowy,50,50,1,2,0,0,3.394,9,Edhellon,25,Shoroughia,4,HUMANS,,,,242,345.1,13.8
178,1433.72,75.67,109.9906,75.6171,10,200,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
179,1442.95,86.32,111.7449,73.5928,26,206,Temperate deciduous forest,70,100,1,1,0,0,8.523,9,Edhellon,25,Shoroughia,4,HUMANS,,,,242,280.7,11.2
180,1434.1,91.8,110.0629,72.5512,26,167,Snowy,50,50,1,1,0,0,4.219,9,Edhellon,25,Shoroughia,4,HUMANS,,,,242,250.6,10.0
181,1458.2,80.5,114.6433,74.699,26,343,Temperate deciduous forest,70,100,1,4,0,29,12.676,9,Edhellon,25,Shoroughia,4,HUMANS,,,,242,157.9,6.3
182,1473.53,74.77,117.5569,75.7882,23,207,Temperate deciduous forest,70,100,1,4,0,0,8.138,9,Edhellon,25,Shoroughia,4,HUMANS,,,,242,230.7,9.2
183,1478.04,84.56,118.414,73.9273,23,222,Temperate deciduous forest,70,100,1,1,0,13,13.75,9,Edhellon,25,Shoroughia,4,HUMANS,,,,242,147.7,5.9
184,1491.1,91.6,120.8962,72.5892,23,229,Snowy,50,50,1,2,210,57,5.497,9,Edhellon,25,Shoroughia,4,HUMANS,,,,242,198.3,7.9
185,1506.68,80.67,123.8573,74.6667,8,301,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
186,1520.76,79.25,126.5333,74.9366,11,269,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
187,1533.1,76.6,128.8787,75.4403,11,259,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
188,1545.49,73.99,131.2335,75.9364,8,177,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
189,1550.62,78.48,132.2085,75.083,10,224,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
190,1551.9,91.7,132.4518,72.5702,10,243,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
191,1581.78,78.14,138.1307,75.1476,10,3892,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
192,436.07,102.66,-79.6212,70.487,0,3521,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
193,471.17,91.5,-72.9501,72.6082,2,1755,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
194,491.85,100.01,-69.0197,70.9907,0,227,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
195,504.7,96.3,-66.5775,71.6959,0,239,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
196,517.63,92.49,-64.12,72.4201,2,454,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
197,515.0,105.1,-64.6199,70.0232,2,201,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
